School Name,State,Region,Starting Median Salary
Ohio State University (OSU),Ohio,Midwestern,"$44,900.00 "
Denison University,Ohio,Midwestern,"$42,000.00 "
University of Illinois at Chicago,Illinois,Midwestern,"$47,500.00 "
Oberlin College,Ohio,Midwestern,"$43,400.00 "
University of Kansas,Kansas,Midwestern,"$42,400.00 "
University of Missouri - Columbia,Missouri,Midwestern,"$41,700.00 "
University of Nebraska,Nebraska,Midwestern,"$45,700.00 "
Northern Illinois University (NIU),Illinois,Midwestern,"$43,600.00 "
Gustavus Adolphus College,Minnesota,Midwestern,"$44,500.00 "
University of North Dakota,North Dakota,Midwestern,"$44,000.00 "
Kansas State University (KSU),Kansas,Midwestern,"$43,300.00 "
University of Wisconsin (UW) - Platteville,Wisconsin,Midwestern,"$45,800.00 "
Wittenberg University,Ohio,Midwestern,"$39,200.00 "
North Dakota State University (NDSU),North Dakota,Midwestern,"$45,100.00 "
Grinnell College,Iowa,Midwestern,"$42,600.00 "
Wayne State University,Michigan,Midwestern,"$42,800.00 "
University of Toledo,Ohio,Midwestern,"$43,100.00 "
University of Wisconsin (UW) - Whitewater,Wisconsin,Midwestern,"$40,800.00 "
Minnesota State University - Mankato,Minnesota,Midwestern,"$43,300.00 "
University of Wisconsin (UW) - Milwaukee,Wisconsin,Midwestern,"$42,300.00 "
Western Michigan University (WMU),Michigan,Midwestern,"$42,300.00 "
South Dakota State University (SDSU),South Dakota,Midwestern,"$41,100.00 "
Ohio University,Ohio,Midwestern,"$42,200.00 "
Illinois State University,Illinois,Midwestern,"$42,000.00 "
Cleveland State University,Ohio,Midwestern,"$43,500.00 "
University of Nebraska at Omaha,Nebraska,Midwestern,"$41,500.00 "
Southern Illinois University Carbondale,Illinois,Midwestern,"$43,000.00 "
Eastern Michigan University,Michigan,Midwestern,"$40,300.00 "
Bowling Green State University,Ohio,Midwestern,"$39,800.00 "
St. Cloud State University,Minnesota,Midwestern,"$41,800.00 "
University of Wisconsin (UW) - Parkside,Wisconsin,Midwestern,"$40,700.00 "
University of Akron,Ohio,Midwestern,"$41,100.00 "
Missouri State University (MSU),Missouri,Midwestern,"$36,100.00 "
University of Wisconsin (UW) - La Crosse,Wisconsin,Midwestern,"$42,200.00 "
University of Wisconsin (UW) - Stout,Wisconsin,Midwestern,"$43,600.00 "
Robert Morris College (RMC),Illinois,Midwestern,"$38,500.00 "
University of Missouri - St. Louis (UMSL),Missouri,Midwestern,"$41,400.00 "
University of Wisconsin (UW) - Oshkosh,Wisconsin,Midwestern,"$39,300.00 "
University of Missouri - Kansas City (UMKC),Missouri,Midwestern,"$38,900.00 "
University of Wisconsin (UW) - Eau Claire,Wisconsin,Midwestern,"$41,400.00 "
Ball State University (BSU),Indiana,Midwestern,"$39,100.00 "
Park University,Missouri,Midwestern,"$44,300.00 "
University of Wisconsin (UW) - Stevens Point,Wisconsin,Midwestern,"$39,800.00 "
Kent State University,Ohio,Midwestern,"$38,700.00 "
University of Wisconsin (UW) - Green Bay,Wisconsin,Midwestern,"$35,800.00 "
Indiana Wesleyan University (IWU),Indiana,Midwestern,"$39,800.00 "
Pittsburg State University,Kansas,Midwestern,"$40,400.00 "
Davenport University,Michigan,Midwestern,"$39,700.00 "
Black Hills State University,South Dakota,Midwestern,"$35,300.00 "
Rice University,Texas,Southern,"$64,000.00 "
Georgetown University,Washington D.C.,Southern,"$55,000.00 "
Duke University,North Carolina,Southern,"$58,900.00 "
Georgia Institute of Technology,Georgia,Southern,"$58,300.00 "
Washington and Lee University,Virginia,Southern,"$53,600.00 "
Vanderbilt University,Tennessee,Southern,"$51,200.00 "
Davidson College,North Carolina,Southern,"$46,100.00 "
University of Virginia (UVA),Virginia,Southern,"$52,700.00 "
George Washington University (GWU),Washington D.C.,Southern,"$47,000.00 "
Texas A&M University,Texas,Southern,"$49,700.00 "
Tulane University,Louisiana,Southern,"$49,100.00 "
Virginia Polytechnic Institute and State University (Virginia Tech),Virginia,Southern,"$53,500.00 "
"University of Maryland, College Park",Maryland,Southern,"$52,000.00 "
University of Richmond,Virginia,Southern,"$48,600.00 "
University of Texas (UT) - Austin,Texas,Southern,"$49,700.00 "
Emory University,Georgia,Southern,"$52,000.00 "
"American University, Washington D.C.",Washington D.C.,Southern,"$45,300.00 "
University of Tulsa,Oklahoma,Southern,"$42,400.00 "
Baylor University,Texas,Southern,"$48,300.00 "
University of Florida (UF),Florida,Southern,"$47,100.00 "
Louisiana State University (LSU),Louisiana,Southern,"$46,900.00 "
George Mason University,Virginia,Southern,"$47,800.00 "
Clemson University,South Carolina,Southern,"$48,400.00 "
University of Georgia (UGA),Georgia,Southern,"$44,100.00 "
Auburn University,Alabama,Southern,"$45,400.00 "
University of Delaware,Delaware,Southern,"$45,900.00 "
Randolph-Macon College,Virginia,Southern,"$42,600.00 "
North Carolina State University (NCSU),North Carolina,Southern,"$47,200.00 "
University of Oklahoma,Oklahoma,Southern,"$44,700.00 "
University of Arkansas,Arkansas,Southern,"$44,100.00 "
University of Alabama at Huntsville (UAH),Alabama,Southern,"$43,100.00 "
Howard University,Washington D.C.,Southern,"$46,900.00 "
University of North Carolina at Chapel Hill (UNCH),North Carolina,Southern,"$42,900.00 "
"University of Alabama, Tuscaloosa",Alabama,Southern,"$41,300.00 "
University of Texas at Arlington (UTA),Texas,Southern,"$45,400.00 "
Oklahoma State University,Oklahoma,Southern,"$42,800.00 "
Tennessee Technological University,Tennessee,Southern,"$46,200.00 "
University of Houston (UH),Texas,Southern,"$46,000.00 "
University of Mississippi,Mississippi,Southern,"$41,400.00 "
Lamar University,Texas,Southern,"$46,500.00 "
Mississippi State University (MSU),Mississippi,Southern,"$44,500.00 "
University of Kentucky (UK),Kentucky,Southern,"$42,800.00 "
Texas Christian University (TCU),Texas,Southern,"$45,100.00 "
West Virginia University (WVU),West Virginia,Southern,"$43,100.00 "
University of Maryland Baltimore County (UMBC),Maryland,Southern,"$47,000.00 "
University of Louisiana (UL) at Lafayette,Louisiana,Southern,"$41,100.00 "
Florida International University (FIU),Florida,Southern,"$43,200.00 "
University of Tennessee,Tennessee,Southern,"$43,800.00 "
University of Arkansas - Monticello (UAM),Arkansas,Southern,"$39,200.00 "
University of North Carolina at Charlotte (UNCC),North Carolina,Southern,"$43,100.00 "
Georgia State University,Georgia,Southern,"$41,800.00 "
LeTourneau University,Texas,Southern,"$49,500.00 "
Florida State University (FSU),Florida,Southern,"$42,100.00 "
University of Texas at El Paso (UTEP),Texas,Southern,"$43,400.00 "
University of Central Florida (UCF),Florida,Southern,"$42,600.00 "
University of South Carolina,South Carolina,Southern,"$40,000.00 "
Florida Atlantic University (FAU),Florida,Southern,"$42,600.00 "
University of South Florida (USF),Florida,Southern,"$41,100.00 "
University of Texas at San Antonio (UTSA),Texas,Southern,"$42,500.00 "
University of Alabama at Birmingham (UAB),Alabama,Southern,"$39,200.00 "
University of Memphis (U of M),Tennessee,Southern,"$41,400.00 "
Appalachian State University,North Carolina,Southern,"$40,400.00 "
Virginia Commonwealth University (VCU),Virginia,Southern,"$42,000.00 "
East Carolina University (ECU),North Carolina,Southern,"$40,200.00 "
Western Carolina University,North Carolina,Southern,"$36,900.00 "
Jacksonville University,Florida,Southern,"$46,700.00 "
University of North Carolina at Wilmington (UNCW),North Carolina,Southern,"$37,500.00 "
Oklahoma City University,Oklahoma,Southern,"$40,000.00 "
Arkansas State University (ASU),Arkansas,Southern,"$38,700.00 "
Tarleton State University (TSU),Texas,Southern,"$40,800.00 "
Morehead State University,Kentucky,Southern,"$34,800.00 "
Mississippi College,Mississippi,Southern,"$35,400.00 "
Dallas Baptist University,Texas,Southern,"$39,400.00 "
Austin Peay State University,Tennessee,Southern,"$37,700.00 "
Saint Leo University,Florida,Southern,"$40,900.00 "
Tusculum College,Tennessee,Southern,"$36,900.00 "
Virginia Wesleyan College (VWC),Virginia,Southern,"$34,600.00 "
"Lee University (Cleveland, TN)",Tennessee,Southern,"$34,500.00 "
Florida Metropolitan University (FMU),Florida,Southern,"$36,600.00 "
Dartmouth College,New Hampshire,Northeastern,"$58,000.00 "
Princeton University,New Jersey,Northeastern,"$66,500.00 "
Massachusetts Institute of Technology (MIT),Massachusetts,Northeastern,"$72,200.00 "
Yale University,Connecticut,Northeastern,"$59,100.00 "
Harvard University,Massachusetts,Northeastern,"$63,400.00 "
University of Pennsylvania,Pennsylvania,Northeastern,"$60,900.00 "
"Polytechnic University of New York, Brooklyn",New York,Northeastern,"$62,400.00 "
Cooper Union,New York,Northeastern,"$62,200.00 "
Worcester Polytechnic Institute (WPI),Massachusetts,Northeastern,"$61,000.00 "
Carnegie Mellon University (CMU),Pennsylvania,Northeastern,"$61,800.00 "
Rensselaer Polytechnic Institute (RPI),New York,Northeastern,"$61,100.00 "
Cornell University,New York,Northeastern,"$60,300.00 "
Bucknell University,Pennsylvania,Northeastern,"$54,100.00 "
Brown University,Rhode Island,Northeastern,"$56,200.00 "
Colgate University,New York,Northeastern,"$52,800.00 "
Columbia University,New York,Northeastern,"$59,400.00 "
Amherst College,Massachusetts,Northeastern,"$54,500.00 "
Lafayette College,Pennsylvania,Northeastern,"$53,900.00 "
Bowdoin College,Maine,Northeastern,"$48,100.00 "
College of the Holy Cross,Massachusetts,Northeastern,"$50,200.00 "
Stevens Institute of Technology,New Jersey,Northeastern,"$60,600.00 "
Lehigh University,Pennsylvania,Northeastern,"$59,200.00 "
Swarthmore College,Pennsylvania,Northeastern,"$49,700.00 "
Boston College,Massachusetts,Northeastern,"$52,700.00 "
Williams College,Massachusetts,Northeastern,"$51,700.00 "
Villanova University,Pennsylvania,Northeastern,"$55,800.00 "
Fordham University,New York,Northeastern,"$47,800.00 "
"Wesleyan University (Middletown, Connecticut)",Connecticut,Northeastern,"$46,500.00 "
Wentworth Institute of Technology,Massachusetts,Northeastern,"$53,000.00 "
